Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1631323.0,3.82,8.3,0.44,2.03,5.06,0.4,0.82,1.0,0.32,0.97,2.76,3.73,1.53,0.67,0.35,1.03,1.67,10.48,-0.39
1630259.0,0.67,1.17,0.28,0.33,0.5,0.33,0.33,0.33,0.17,0.0,0.33,0.33,0.33,0.0,0.0,0.17,0.0,2.0,2.33
1630235.0,0.89,2.37,0.28,0.05,0.26,0.04,0.34,0.45,0.16,0.29,1.05,1.34,2.42,0.29,0.08,0.53,0.66,2.18,-2.47
203095.0,2.47,6.91,0.31,1.03,4.06,0.21,0.91,1.12,0.36,0.16,1.66,1.81,1.5,0.91,0.22,0.66,1.5,6.88,-4.44
1628368.0,9.73,20.93,0.46,2.89,7.84,0.36,4.22,5.72,0.69,0.91,3.69,4.59,5.65,2.03,0.42,2.62,2.61,26.57,3.15
1631241.0,2.5,5.64,0.34,0.45,1.91,0.14,1.5,1.64,0.63,0.73,2.45,3.18,1.82,0.45,0.18,1.14,1.27,6.95,-7.23
1641788.0,1.0,2.5,0.26,0.17,0.83,0.06,0.33,0.33,0.17,0.67,0.17,0.83,0.0,0.5,0.0,0.33,0.33,2.5,-6.33
1628365.0,3.58,7.58,0.46,0.09,0.42,0.05,0.53,0.77,0.24,1.3,1.91,3.21,2.79,0.98,0.35,1.16,1.51,7.79,0.33
1629655.0,4.7,6.49,0.71,0.0,0.0,0.0,1.59,2.36,0.48,2.64,4.96,7.59,1.55,0.88,2.07,1.0,3.07,11.0,-1.36
201568.0,1.69,3.88,0.4,0.61,1.9,0.26,1.71,2.0,0.51,0.41,1.8,2.2,1.12,0.29,0.12,0.47,1.02,5.71,-2.02
1629636.0,6.58,14.75,0.44,2.32,6.25,0.34,2.56,3.07,0.69,0.53,2.14,2.67,6.54,1.3,0.12,3.09,1.67,18.04,1.95
1630586.0,0.17,1.0,0.04,0.0,0.17,0.0,0.17,0.33,0.08,0.5,0.67,1.17,0.17,0.17,0.5,0.33,0.33,0.5,-1.83
1630568.0,1.44,3.0,0.33,0.36,1.28,0.15,0.72,1.0,0.26,0.76,0.48,1.24,0.16,0.16,0.04,0.24,0.96,3.96,0.28
1629232.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
1641718.0,4.25,10.87,0.38,1.96,5.87,0.31,2.52,2.97,0.61,0.2,2.61,2.81,4.43,0.48,0.09,2.51,1.21,12.99,-4.99
202331.0,7.86,16.7,0.47,3.28,7.95,0.41,3.57,3.93,0.74,0.5,4.74,5.24,3.54,1.53,0.5,2.07,2.73,22.58,6.23
1630581.0,5.03,10.59,0.48,1.02,3.04,0.27,1.25,1.55,0.46,1.39,5.04,6.42,4.82,0.64,0.55,2.1,1.39,12.32,4.69
1628385.0,1.0,2.17,0.27,0.13,0.61,0.11,0.3,0.57,0.17,0.52,0.78,1.3,0.26,0.09,0.13,0.26,0.65,2.43,-1.78
1628983.0,10.61,19.83,0.54,1.27,3.59,0.38,7.56,8.65,0.87,0.87,4.67,5.53,6.2,2.0,0.89,2.16,2.45,30.05,8.13
1630264.0,1.5,3.2,0.33,0.2,0.82,0.11,0.58,0.72,0.23,0.74,1.14,1.88,0.68,0.26,0.22,0.46,0.96,3.78,0.1
1631221.0,1.33,2.88,0.36,0.62,1.58,0.21,0.33,0.5,0.16,0.04,0.83,0.88,1.12,0.54,0.0,0.58,1.0,3.62,0.58
1631367.0,1.46,3.66,0.32,1.24,3.07,0.32,0.05,0.05,0.05,0.22,0.9,1.12,3.34,0.8,0.12,0.73,0.95,4.22,-4.22
203497.0,5.34,8.08,0.66,0.0,0.04,0.0,3.28,5.13,0.59,3.75,9.17,12.92,1.34,0.68,2.13,1.55,3.13,13.96,5.41
1630692.0,2.47,6.7,0.36,0.74,2.47,0.21,0.77,1.04,0.27,1.54,2.89,4.44,2.72,0.84,0.32,0.98,1.33,6.46,-1.61
203932.0,5.45,9.81,0.58,0.55,1.89,0.22,2.42,3.68,0.54,2.38,4.07,6.45,3.55,0.77,0.62,1.44,1.95,13.88,5.78
201569.0,4.03,9.09,0.42,2.21,5.84,0.35,0.75,0.94,0.32,0.24,1.56,1.79,2.04,0.97,0.44,1.07,1.16,11.01,1.82
1628984.0,1.65,4.7,0.3,1.09,3.61,0.26,0.57,0.7,0.29,0.22,1.35,1.57,2.13,0.39,0.09,0.74,0.61,4.96,1.0
203924.0,7.09,15.74,0.44,2.06,5.11,0.39,4.72,5.78,0.75,0.69,2.85,3.54,2.81,0.83,0.63,2.15,2.17,20.96,-6.52
1631260.0,1.48,3.5,0.36,1.23,3.02,0.32,0.3,0.34,0.17,0.16,0.98,1.14,0.54,0.16,0.07,0.21,0.88,4.5,0.89
201980.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0
203110.0,3.36,6.76,0.47,0.93,2.35,0.3,0.98,1.35,0.32,1.38,5.85,7.24,6.04,1.0,0.85,2.45,3.02,8.64,3.13
